80

Culture: es-ES 
Date: 24/06/2020 11:52:52.13127

ENLIGHT Version: 1.10.2.0

Data Save Interval: 1
Timestamp Format: Full

Name: 
Description: 
Module Type: SM125
Mux Level: No Switch
HW Acquisition Rate: 5 Hz
Wavelength Tracking: 400 pm / acquistion
Normalized: True

IP Address: 192.168.1.123
      Port: 50000

IDN: sm125 1.2
Image ID: 1.0
S/N: SIA85T

CH 1 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -55,00 dB
	Rel. Thresh.: -11,00 dB
	Width Level: 3,00 dB
	Width: 0,10 nm
	Detect Valley: False

CH 2 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50,00 dB
	Rel. Thresh.: -8,00 dB
	Width Level: 3,00 dB
	Width: 0,07 nm
	Detect Valley: False

CH 3 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50,00 dB
	Rel. Thresh.: -8,00 dB
	Width Level: 3,00 dB
	Width: 0,10 nm
	Detect Valley: False

CH 4 Configuration:
	Distance Compensation Enabled: False
	Spectral Average Count: 1
	Threshold: -50,00 dB
	Rel. Thresh.: -8,00 dB
	Width Level: 3,00 dB
	Width: 0,10 nm
	Detect Valley: False

A1 (NA, Temperature): "-23.957494525641582*FBG_A1^3+109259.25451216094*FBG_A1^2+-166093829.58565986*FBG_A1+84164160209.02133", Range (-26,038, 54,273), Limits (NA, NA), Constants ( St=10,000 ), Description: ""
A2 (NA, Temperature): "-18.899027999681454*FBG_A2^3+86353.86413081491*FBG_A2^2+-131523220.70053504*FBG_A2+66773085628.16404", Range (-25,833, 62,251), Limits (NA, NA), Constants ( St=9,900 ), Description: ""
A3 (NA, Temperature): "-6.484618799483291*FBG_A3^3+29668.80165579332*FBG_A3^2+-45247325.90361204*FBG_A3+23001872137.844048", Range (-37,039, 77,302), Limits (NA, NA), Constants ( St=9,900 ), Description: ""
A4 (NA, Temperature): "20.411235981165895*FBG_A4^3+-93676.1684579524*FBG_A4^2+143307187.43011534*FBG_A4+-73077867300.21503", Range (-45,138, 181,076), Limits (NA, NA), Constants ( St=9,800 ), Description: ""
A5 (NA, Temperature): "9.156827831383353*FBG_A5^3+-42119.78507515272*FBG_A5^2+64581269.90732324*FBG_A5+-33007022561.609653", Range (-58,157, 135,202), Limits (NA, NA), Constants ( St=9,700 ), Description: ""
A6 (NA, Temperature): "11.163753071448287*FBG_A6^3+-51448.20706081547*FBG_A6^2+79033186.60087448*FBG_A6+-40469511915.12558", Range (-63,290, 131,504), Limits (NA, NA), Constants ( St=10,000 ), Description: ""
A7 (NA, Temperature): "27.445225474476263*FBG_A7^3+-126686.16215731142*FBG_A7^2+194926339.76877433*FBG_A7+-99974869817.4601", Range (-74,303, 176,754), Limits (NA, NA), Constants ( St=9,100 ), Description: ""
A8 (NA, Temperature): "27.45356183699748*FBG_A8^3+-126968.25630707123*FBG_A8^2+195735943.28251788*FBG_A8+-100583091821.90262", Range (-76,981, 178,838), Limits (NA, NA), Constants ( St=8,900 ), Description: ""

FBG_A1 (FBG): #Avg = 1, Alpha = 0,00, Range (1520,379, 1522,303), Distance = 0 m
FBG_A2 (FBG): #Avg = 1, Alpha = 0,00, Range (1523,303, 1525,168), Distance = 0 m
FBG_A3 (FBG): #Avg = 1, Alpha = 0,00, Range (1526,168, 1528,047), Distance = 0 m
FBG_A4 (FBG): #Avg = 1, Alpha = 0,00, Range (1529,047, 1530,967), Distance = 0 m
FBG_A5 (FBG): #Avg = 1, Alpha = 0,00, Range (1531,967, 1533,908), Distance = 0 m
FBG_A6 (FBG): #Avg = 1, Alpha = 0,00, Range (1534,908, 1536,841), Distance = 0 m
FBG_A7 (FBG): #Avg = 1, Alpha = 0,00, Range (1537,841, 1539,782), Distance = 0 m
FBG_A8 (FBG): #Avg = 1, Alpha = 0,00, Range (1540,782, 1542,749), Distance = 0 m

Timestamp	A1	A2	A3	A4	A5	A6	A7	A8	FBG_A1 (nm)	Level (db)	FBG_A2 (nm)	Level (db)	FBG_A3 (nm)	Level (db)	FBG_A4 (nm)	Level (db)	FBG_A5 (nm)	Level (db)	FBG_A6 (nm)	Level (db)	FBG_A7 (nm)	Level (db)	FBG_A8 (nm)	Level (db)
24/06/2020 11:52:53.09127	-5,317	-5,162	-5,372	-5,366	-5,299	-5,344	-5,243	-5,445	1520,56050	-28,27	1523,48601	-27,98	1526,44248	-29,00	1529,38055	-29,84	1532,40420	-30,15	1535,37775	-29,91	1538,38079	-29,70	1541,33692	-29,85
24/06/2020 11:52:53.29127	-5,309	-5,528	-5,374	-5,338	-5,510	-5,376	-5,183	-5,231	1520,56058	-28,34	1523,48267	-27,91	1526,44246	-28,68	1529,38081	-29,68	1532,40226	-30,15	1535,37745	-30,07	1538,38135	-29,45	1541,33890	-29,73
24/06/2020 11:52:53.49127	-5,511	-5,392	-5,243	-5,339	-5,391	-5,325	-5,229	-5,383	1520,55875	-28,36	1523,48391	-28,01	1526,44366	-29,05	1529,38080	-29,89	1532,40335	-30,20	1535,37792	-29,94	1538,38091	-29,68	1541,33749	-29,88
24/06/2020 11:52:53.69127	-5,566	-5,319	-5,318	-5,365	-5,270	-5,397	-5,088	-5,234	1520,55824	-28,29	1523,48458	-27,84	1526,44298	-28,86	1529,38055	-29,84	1532,40446	-30,02	1535,37726	-29,85	1538,38223	-29,74	1541,33887	-29,74
24/06/2020 11:52:53.89127	-5,537	-5,417	-5,357	-5,312	-5,397	-5,351	-5,152	-5,230	1520,55851	-28,37	1523,48369	-28,16	1526,44261	-28,76	1529,38104	-29,72	1532,40330	-30,17	1535,37768	-30,17	1538,38163	-29,51	1541,33891	-29,70
24/06/2020 11:52:54.09127	-5,398	-5,294	-5,327	-5,298	-5,393	-5,195	-5,203	-5,242	1520,55977	-28,32	1523,48481	-28,10	1526,44290	-28,89	1529,38118	-29,94	1532,40334	-30,33	1535,37912	-29,96	1538,38116	-29,68	1541,33879	-29,88
24/06/2020 11:52:54.29127	-5,394	-5,337	-5,207	-5,463	-5,347	-5,307	-5,148	-5,238	1520,55981	-28,19	1523,48441	-27,98	1526,44400	-28,91	1529,37965	-29,96	1532,40375	-30,17	1535,37809	-29,90	1538,38167	-29,64	1541,33884	-29,74
24/06/2020 11:52:54.49127	-5,494	-5,178	-5,318	-5,256	-5,362	-5,415	-5,057	-5,214	1520,55890	-28,23	1523,48587	-28,13	1526,44297	-28,66	1529,38157	-29,56	1532,40362	-30,20	1535,37709	-30,02	1538,38252	-29,52	1541,33906	-29,66
24/06/2020 11:52:54.69127	-5,283	-5,531	-5,310	-5,263	-5,313	-5,306	-5,180	-5,215	1520,56082	-28,30	1523,48265	-28,05	1526,44304	-28,64	1529,38150	-29,97	1532,40407	-30,16	1535,37809	-29,99	1538,38138	-29,44	1541,33905	-29,94
24/06/2020 11:52:54.89127	-5,336	-5,363	-5,180	-5,431	-5,296	-5,217	-5,184	-5,193	1520,56033	-28,41	1523,48418	-28,00	1526,44424	-28,62	1529,37995	-29,92	1532,40423	-30,23	1535,37892	-30,04	1538,38133	-29,40	1541,33925	-29,65
24/06/2020 11:52:55.09127	-5,338	-5,246	-5,316	-5,216	-5,342	-5,346	-5,133	-5,152	1520,56031	-28,32	1523,48524	-27,96	1526,44299	-28,58	1529,38194	-29,96	1532,40380	-30,12	1535,37773	-29,98	1538,38181	-29,52	1541,33964	-29,89
24/06/2020 11:52:55.29127	-5,487	-5,364	-5,233	-5,282	-5,329	-5,229	-5,091	-5,096	1520,55896	-28,34	1523,48417	-28,12	1526,44375	-28,62	1529,38133	-29,88	1532,40392	-30,12	1535,37881	-30,13	1538,38220	-29,40	1541,34015	-29,70
24/06/2020 11:52:55.49127	-5,541	-5,331	-5,342	-5,203	-5,253	-5,205	-5,229	-5,164	1520,55847	-28,33	1523,48447	-28,02	1526,44276	-28,93	1529,38205	-29,90	1532,40462	-30,29	1535,37903	-29,88	1538,38092	-29,43	1541,33952	-29,95
24/06/2020 11:52:55.69127	-5,510	-5,351	-5,323	-5,236	-5,288	-5,339	-5,150	-5,112	1520,55876	-28,19	1523,48429	-28,19	1526,44293	-28,82	1529,38175	-29,76	1532,40430	-30,06	1535,37779	-30,06	1538,38165	-29,45	1541,34001	-29,65
24/06/2020 11:52:55.89127	-5,340	-5,274	-5,351	-5,275	-5,347	-5,179	-5,046	-5,300	1520,56030	-28,09	1523,48500	-27,80	1526,44267	-28,86	1529,38139	-29,73	1532,40376	-30,13	1535,37927	-30,01	1538,38261	-29,68	1541,33826	-29,84
24/06/2020 11:52:56.09127	-5,376	-5,344	-5,191	-5,045	-5,169	-5,243	-5,110	-5,282	1520,55997	-28,35	1523,48435	-27,99	1526,44415	-28,67	1529,38352	-29,96	1532,40539	-30,31	1535,37868	-30,04	1538,38202	-29,49	1541,33843	-29,90
24/06/2020 11:52:56.29127	-5,464	-5,296	-5,272	-5,328	-5,189	-5,282	-5,192	-5,092	1520,55917	-28,30	1523,48479	-28,11	1526,44340	-28,93	1529,38090	-29,97	1532,40521	-30,23	1535,37832	-30,06	1538,38126	-29,49	1541,34019	-29,95
24/06/2020 11:52:56.49127	-5,557	-5,179	-5,422	-5,189	-5,388	-5,286	-5,034	-5,132	1520,55833	-28,20	1523,48586	-28,08	1526,44202	-28,97	1529,38219	-29,95	1532,40338	-30,16	1535,37828	-30,00	1538,38273	-29,43	1541,33982	-29,85
24/06/2020 11:52:56.69127	-5,469	-5,175	-5,286	-5,131	-5,304	-5,287	-5,131	-5,113	1520,55913	-28,32	1523,48589	-28,09	1526,44327	-29,00	1529,38273	-30,00	1532,40415	-30,27	1535,37827	-29,96	1538,38183	-29,45	1541,34000	-29,95
24/06/2020 11:52:56.89127	-5,326	-5,058	-5,292	-5,323	-5,257	-5,105	-5,075	-5,164	1520,56042	-28,25	1523,48696	-28,24	1526,44322	-28,76	1529,38095	-29,72	1532,40458	-30,01	1535,37996	-30,12	1538,38235	-29,47	1541,33953	-29,66
24/06/2020 11:52:57.09127	-5,482	-5,341	-5,318	-5,235	-5,277	-5,209	-5,114	-5,053	1520,55901	-28,20	1523,48439	-27,90	1526,44297	-28,87	1529,38176	-29,83	1532,40440	-30,20	1535,37899	-29,92	1538,38199	-29,59	1541,34055	-29,88
24/06/2020 11:52:57.29127	-5,593	-5,397	-5,157	-5,170	-5,249	-5,199	-5,119	-5,160	1520,55801	-28,26	1523,48387	-28,02	1526,44446	-28,79	1529,38236	-29,55	1532,40466	-30,18	1535,37909	-29,99	1538,38194	-29,44	1541,33956	-29,64
24/06/2020 11:52:57.49127	-5,379	-5,211	-5,277	-5,377	-5,209	-5,248	-5,054	-5,167	1520,55995	-28,20	1523,48557	-27,90	1526,44335	-28,92	1529,38044	-29,82	1532,40503	-30,24	1535,37864	-29,91	1538,38255	-29,80	1541,33950	-29,87
24/06/2020 11:52:57.69127	-5,385	-5,150	-5,295	-5,203	-5,264	-5,099	-4,961	-5,140	1520,55989	-28,08	1523,48613	-27,92	1526,44318	-28,89	1529,38206	-29,85	1532,40452	-30,15	1535,38001	-30,01	1538,38341	-29,61	1541,33974	-29,82
24/06/2020 11:52:57.89127	-5,410	-5,352	-5,065	-5,256	-5,238	-5,137	-5,095	-5,184	1520,55966	-28,19	1523,48428	-27,97	1526,44531	-28,96	1529,38157	-29,83	1532,40476	-30,13	1535,37966	-29,91	1538,38217	-29,60	1541,33933	-29,71
24/06/2020 11:52:58.09127	-5,313	-5,238	-5,363	-5,250	-5,240	-5,210	-5,021	-5,112	1520,56054	-28,23	1523,48532	-28,02	1526,44256	-28,75	1529,38162	-29,70	1532,40474	-30,22	1535,37899	-30,11	1538,38285	-29,51	1541,34001	-29,75
24/06/2020 11:52:58.29127	-5,372	-5,113	-5,250	-5,227	-5,261	-5,218	-4,968	-5,095	1520,56001	-28,26	1523,48646	-28,01	1526,44361	-28,78	1529,38183	-29,69	1532,40454	-30,31	1535,37891	-29,98	1538,38335	-29,45	1541,34016	-29,70
24/06/2020 11:52:58.49127	-5,411	-5,212	-5,165	-5,258	-5,277	-5,244	-5,099	-5,192	1520,55965	-28,36	1523,48556	-28,03	1526,44439	-28,79	1529,38154	-29,70	1532,40440	-30,15	1535,37867	-30,09	1538,38213	-29,47	1541,33926	-29,62
24/06/2020 11:52:58.69127	-5,411	-5,170	-5,281	-5,318	-5,270	-5,202	-4,982	-5,069	1520,55965	-28,19	1523,48594	-28,08	1526,44332	-28,70	1529,38099	-29,70	1532,40446	-30,20	1535,37906	-30,08	1538,38321	-29,50	1541,34041	-29,69
24/06/2020 11:52:58.89127	-5,467	-5,181	-5,273	-5,114	-5,236	-5,185	-5,123	-5,137	1520,55914	-28,19	1523,48584	-27,95	1526,44339	-28,95	1529,38288	-29,90	1532,40477	-30,16	1535,37921	-29,88	1538,38190	-29,59	1541,33977	-29,74
24/06/2020 11:52:59.09127	-5,438	-5,215	-5,127	-5,253	-5,220	-5,093	-5,188	-5,299	1520,55941	-28,11	1523,48553	-27,88	1526,44474	-28,91	1529,38159	-29,82	1532,40493	-30,10	1535,38006	-29,89	1538,38130	-29,54	1541,33827	-29,77
24/06/2020 11:52:59.29127	-5,394	-5,209	-5,202	-5,264	-5,204	-5,208	-5,007	-5,088	1520,55981	-28,09	1523,48559	-27,95	1526,44404	-28,75	1529,38150	-29,83	1532,40507	-30,05	1535,37900	-30,10	1538,38298	-29,63	1541,34023	-29,74
24/06/2020 11:52:59.49127	-5,356	-5,148	-5,180	-5,211	-5,367	-5,244	-5,023	-5,019	1520,56015	-28,27	1523,48614	-28,03	1526,44424	-28,96	1529,38198	-29,94	1532,40357	-30,28	1535,37867	-30,00	1538,38283	-29,48	1541,34087	-29,90
24/06/2020 11:52:59.69127	-5,303	-5,280	-5,194	-5,231	-5,338	-5,126	-5,065	-5,179	1520,56063	-28,27	1523,48494	-28,02	1526,44412	-28,55	1529,38180	-29,57	1532,40384	-30,19	1535,37976	-30,08	1538,38244	-29,38	1541,33939	-29,92
24/06/2020 11:52:59.89127	-5,673	-5,030	-5,213	-5,278	-5,187	-5,143	-5,067	-5,096	1520,55728	-28,25	1523,48722	-27,89	1526,44394	-28,78	1529,38136	-29,75	1532,40523	-30,17	1535,37960	-30,10	1538,38242	-29,55	1541,34015	-29,76
24/06/2020 11:53:00.09127	-5,350	-5,280	-5,146	-5,162	-5,216	-5,065	-4,970	-5,130	1520,56021	-28,33	1523,48493	-28,03	1526,44456	-28,60	1529,38243	-29,69	1532,40497	-29,98	1535,38032	-30,13	1538,38332	-29,53	1541,33984	-29,69
24/06/2020 11:53:00.29127	-5,244	-5,353	-5,258	-5,389	-5,173	-5,148	-5,065	-5,201	1520,56117	-28,20	1523,48428	-27,97	1526,44353	-28,82	1529,38034	-29,88	1532,40535	-30,24	1535,37955	-29,94	1538,38244	-29,64	1541,33918	-29,73
24/06/2020 11:53:00.49127	-5,411	-5,181	-5,189	-5,174	-5,320	-5,330	-5,023	-5,094	1520,55965	-28,39	1523,48584	-28,02	1526,44416	-28,51	1529,38232	-29,98	1532,40400	-30,15	1535,37788	-30,05	1538,38284	-29,37	1541,34017	-29,69
24/06/2020 11:53:00.69127	-5,206	-5,206	-5,154	-5,179	-5,165	-5,127	-5,069	-4,981	1520,56151	-28,31	1523,48562	-28,02	1526,44448	-28,79	1529,38227	-29,69	1532,40543	-30,02	1535,37975	-30,07	1538,38240	-29,45	1541,34122	-29,72
24/06/2020 11:53:00.89127	-5,576	-5,215	-5,130	-5,236	-5,117	-5,239	-5,127	-5,252	1520,55816	-28,26	1523,48553	-28,03	1526,44471	-28,95	1529,38175	-29,94	1532,40587	-30,18	1535,37871	-29,79	1538,38187	-29,69	1541,33870	-29,80
24/06/2020 11:53:01.09127	-5,504	-5,242	-5,076	-5,180	-5,283	-5,244	-5,011	-5,029	1520,55881	-28,20	1523,48529	-28,01	1526,44520	-28,68	1529,38227	-29,91	1532,40434	-30,25	1535,37867	-29,99	1538,38295	-29,53	1541,34078	-29,60
24/06/2020 11:53:01.29127	-5,130	-5,219	-5,146	-5,078	-5,223	-5,201	-4,980	-5,116	1520,56221	-28,31	1523,48550	-28,11	1526,44456	-28,70	1529,38321	-29,63	1532,40489	-30,19	1535,37907	-30,05	1538,38323	-29,50	1541,33997	-29,60
24/06/2020 11:53:01.49127	-5,511	-5,144	-5,321	-5,165	-5,151	-5,147	-5,011	-5,106	1520,55875	-28,11	1523,48618	-28,03	1526,44294	-28,91	1529,38240	-29,80	1532,40556	-30,15	1535,37956	-29,80	1538,38294	-29,64	1541,34006	-29,67
24/06/2020 11:53:01.69127	-5,279	-5,245	-5,129	-5,203	-5,388	-5,145	-5,073	-4,995	1520,56085	-28,31	1523,48526	-28,03	1526,44471	-28,56	1529,38205	-29,96	1532,40338	-30,06	1535,37958	-30,03	1538,38237	-29,34	1541,34109	-29,98
24/06/2020 11:53:01.89127	-5,343	-5,127	-5,046	-5,175	-5,220	-5,104	-5,002	-5,118	1520,56027	-28,30	1523,48633	-28,07	1526,44548	-28,57	1529,38231	-29,92	1532,40492	-30,30	1535,37997	-30,09	1538,38303	-29,45	1541,33995	-29,53
24/06/2020 11:53:02.09127	-5,385	-5,225	-5,071	-5,135	-5,123	-5,222	-5,074	-5,154	1520,55988	-28,10	1523,48544	-28,15	1526,44525	-28,80	1529,38269	-29,68	1532,40582	-30,30	1535,37887	-30,05	1538,38236	-29,50	1541,33962	-29,64
24/06/2020 11:53:02.29127	-5,352	-5,124	-5,165	-5,171	-5,162	-5,119	-5,133	-5,101	1520,56019	-28,19	1523,48636	-28,01	1526,44438	-28,95	1529,38235	-29,83	1532,40546	-30,22	1535,37983	-29,87	1538,38181	-29,64	1541,34011	-29,80
24/06/2020 11:53:02.49127	-5,337	-5,310	-5,123	-5,125	-5,216	-5,197	-4,955	-5,082	1520,56033	-28,30	1523,48466	-28,00	1526,44477	-28,90	1529,38278	-29,90	1532,40496	-30,31	1535,37910	-29,98	1538,38347	-29,68	1541,34028	-29,89
24/06/2020 11:53:02.69127	-5,324	-5,235	-5,208	-5,118	-5,276	-5,174	-5,161	-5,094	1520,56045	-28,38	1523,48535	-28,07	1526,44399	-28,64	1529,38284	-29,80	1532,40441	-30,14	1535,37931	-29,98	1538,38155	-29,51	1541,34017	-29,90
24/06/2020 11:53:02.89127	-5,462	-5,119	-5,119	-5,263	-5,246	-5,184	-5,051	-5,039	1520,55919	-28,35	1523,48641	-28,05	1526,44481	-28,65	1529,38150	-29,85	1532,40469	-30,22	1535,37922	-30,05	1538,38257	-29,48	1541,34068	-29,87
24/06/2020 11:53:03.09127	-5,460	-5,218	-5,176	-5,121	-5,101	-5,169	-5,044	-5,091	1520,55921	-28,07	1523,48550	-28,12	1526,44428	-28,71	1529,38281	-29,77	1532,40602	-29,81	1535,37936	-30,03	1538,38264	-29,46	1541,34020	-29,73
24/06/2020 11:53:03.29127	-5,303	-5,083	-5,175	-5,331	-5,173	-5,169	-5,016	-4,997	1520,56063	-28,18	1523,48674	-27,88	1526,44429	-28,84	1529,38087	-29,86	1532,40536	-30,21	1535,37937	-29,83	1538,38290	-29,75	1541,34107	-29,78
24/06/2020 11:53:03.49127	-5,416	-5,229	-5,209	-5,204	-5,170	-5,196	-5,128	-5,104	1520,55961	-28,02	1523,48541	-27,85	1526,44398	-28,94	1529,38205	-29,97	1532,40539	-30,27	1535,37911	-29,78	1538,38186	-29,59	1541,34008	-29,79
24/06/2020 11:53:03.69127	-5,231	-5,266	-5,188	-5,308	-5,178	-5,037	-4,999	-5,181	1520,56128	-28,28	1523,48506	-27,81	1526,44417	-28,89	1529,38109	-29,79	1532,40531	-30,08	1535,38058	-29,93	1538,38305	-29,55	1541,33936	-29,71
24/06/2020 11:53:03.89127	-5,250	-5,168	-5,235	-5,102	-5,214	-5,277	-5,140	-5,091	1520,56111	-28,29	1523,48596	-27,92	1526,44374	-29,00	1529,38299	-29,83	1532,40498	-30,27	1535,37836	-29,89	1538,38174	-29,43	1541,34020	-29,92
24/06/2020 11:53:04.09127	-5,296	-5,082	-5,103	-5,115	-5,127	-5,249	-5,199	-5,171	1520,56070	-28,35	1523,48674	-28,18	1526,44496	-28,73	1529,38287	-29,69	1532,40578	-30,07	1535,37863	-30,10	1538,38120	-29,56	1541,33946	-29,73
24/06/2020 11:53:04.29127	-5,225	-5,266	-5,153	-5,228	-5,382	-5,200	-5,066	-5,040	1520,56134	-28,36	1523,48507	-27,96	1526,44449	-28,97	1529,38183	-30,00	1532,40343	-30,10	1535,37908	-30,14	1538,38244	-29,51	1541,34068	-29,60
24/06/2020 11:53:04.49127	-5,327	-5,264	-5,099	-5,155	-5,245	-5,211	-5,102	-5,146	1520,56042	-28,32	1523,48509	-28,01	1526,44499	-28,92	1529,38250	-29,86	1532,40469	-30,16	1535,37897	-29,86	1538,38210	-29,73	1541,33969	-29,87
24/06/2020 11:53:04.69127	-5,347	-5,153	-5,220	-5,144	-5,035	-5,135	-5,132	-5,159	1520,56023	-28,32	1523,48610	-28,14	1526,44388	-28,98	1529,38260	-29,87	1532,40663	-30,32	1535,37967	-29,95	1538,38182	-29,43	1541,33957	-29,84
24/06/2020 11:53:04.89127	-5,318	-5,062	-5,243	-5,244	-5,301	-5,326	-5,118	-5,184	1520,56049	-28,32	1523,48692	-28,12	1526,44367	-28,65	1529,38168	-29,95	1532,40418	-30,19	1535,37791	-29,98	1538,38195	-29,44	1541,33934	-29,81
